,loss,array
"arcoating,10,400",16.415130619475,"[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]"
"arcoating,35,700",15.910860498941,"[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]"
"arcoating,70,1000",16.343215903293,"[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]"
"arcoating,8,400",13.100717405397,"[5.0,6.333333333333333,7.666666666666666,9.0,9.0,9.0,9.0,9.0]"
"bragg,16",0.932163816851,"[2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5]"
"bragg,80",0.9226169969589999,"[2.4918179156342637,2.5474724706034904,2.571246746419748,2.544954677058787,2.4683356838294372,2.4829347555669896,2.4954552092596236,2.6108887327536685,2.4789753875379947,2.5219934998847005,2.452614117216165,2.573249833869694,2.5880934825113933,2.4483760954901306,2.5673456242195543,2.372436424248611,2.431534536789325,2.4845399235666408,2.578388622121259,2.5065441564323154,2.491635815394582,2.4848915286254436,2.363407091173659,2.4287331784558996,2.5154592543165832,2.483353438686595,2.56794879109945,2.4842388151569974,2.4587366189460007,2.4060713761857344,2.5553564108510933,2.4158944971906977,2.570859668019788,2.426431074905805,2.4854772182590836,2.495015768694826,2.404420996054757,2.5565341259386467,2.6183700511228274,2.470498012225609,99.01376549654813,86.55966141350999,82.09359152042944,106.42888871513631,86.52960707431325,54.83233013550578,70.1669770074324,75.80482621618633,103.81822720278286,64.64942097512954,87.80746905238311,96.16876813371331,77.45367627843157,79.46240283083823,87.0125190968694,54.2629346895199,130.98183796991134,130.55799116768287,123.33424011556079,88.58327702710854,66.8453760747949,79.02290562760298,83.1729874387424,100.48531701369657,124.12246823207266,95.96634366919835,111.18326066578075,105.1121083649305,116.06548804629021,125.99881629072348,102.48333315667469,110.96755337203511,118.08849642012643,102.82809900889518,113.81720549789465,94.15039436432835,101.04205822439215,116.10500900221653,82.8911863956167,91.16880819877633]"
"chirped,16",0.594587712739,"[109.72985831489979,98.18574120560555,107.42439496690479,87.99264365961669,112.531428339492,89.65278659791956,105.05127078132273,103.79772329843809,96.93018121427048,133.71819394988916,99.02177080593657,109.72456993535758,115.95956118008561,92.84831198907784,118.42356371437981,103.77850212331678]"
"chirped,30",0.275923457222,"[89.04887416,109.54188095,89.74520725,121.81700431,179.99830918,124.38222473,95.31017129,116.0239629,92.92345776,118.06108198,179.99965859,116.89288181,88.90191494,110.30816229,93.11974992,137.42629858,118.81810084,110.74139708,85.15270955,100.9382438,81.44070951,100.6382896,84.97336252,110.59252719,134.89164276,121.84205195,89.28450356,106.72776991,85.77168797,102.33562547]"
"chirped,50",0.122791774788,"[82.90650359625751,100.22768681990354,80.61585547981949,98.48275038657422,82.20565964541501,103.12534351567969,89.55329120038363,168.44375926784716,93.09850619731536,106.36654780454921,85.20967539975523,102.14598241253441,83.30318364465117,101.50935202096389,88.37577966739511,110.39109558548196,97.81719872270574,114.5576054772588,91.89773736449696,117.3470103144378,179.99965149755207,118.56799836959532,79.85505029231285,100.14199716496779,79.3924792095076,96.50753755781197,79.36695739530128,100.83659109891018,85.25229426624284,108.07126091527283,111.68065608193183,179.98226991017955,97.50598758771685,118.8785209361821,103.37187268480221,130.04086956892863,106.40231319113599,128.60913255727175,103.86534291275723,128.15525056991805,113.5340738198968,135.80239241170972,104.0664201135123,117.01851907811272,94.18435825321245,116.22135346141759,165.83864221125333,112.9265456240337,89.24196515358943,106.67777580674382]"
"morpho,12",0.861490537019,"[252.13748624757983,106.3615966860212,89.22302505088133,323.8301357849702,543.1938638510092,540.3784091430531,199.35476363087542,361.1488066315219,366.77970523821614,67.77284530339217,112.75174034120852,81.4097394475551]"
